timestamp,symbol,order_id,order_type,side,price,volume,order_status,trader_id,execution_id
2024-11-01 09:30:00,AAPL,ORD001,limit,buy,150.00,5000,placed,trader_001,
2024-11-01 09:30:05,AAPL,ORD002,limit,sell,150.50,2000,placed,trader_002,
2024-11-01 09:30:10,AAPL,ORD003,market,buy,150.25,1500,executed,trader_003,EXE001
2024-11-01 09:30:15,AAPL,ORD004,limit,buy,149.95,3000,placed,trader_004,
2024-11-01 09:30:20,AAPL,ORD005,limit,sell,150.55,2500,placed,trader_005,
2024-11-01 09:30:25,AAPL,ORD003,market,buy,150.25,1500,filled,trader_003,EXE001
2024-11-01 09:30:30,AAPL,ORD006,limit,buy,150.20,1800,executed,trader_006,EXE002
2024-11-01 09:30:35,AAPL,ORD006,limit,buy,150.20,1800,filled,trader_006,EXE002
2024-11-01 09:30:40,AAPL,ORD001,limit,buy,150.00,5000,cancelled,trader_001,
2024-11-01 09:30:45,AAPL,ORD007,limit,sell,150.60,4000,placed,trader_007,
2024-11-01 09:30:50,AAPL,ORD008,limit,buy,149.90,10000,placed,trader_008,
2024-11-01 09:30:55,AAPL,ORD009,market,sell,150.30,2200,executed,trader_009,EXE003
2024-11-01 09:31:00,AAPL,ORD009,market,sell,150.30,2200,filled,trader_009,EXE003
2024-11-01 09:31:05,AAPL,ORD008,limit,buy,149.90,10000,cancelled,trader_008,
2024-11-01 09:31:10,AAPL,ORD010,limit,buy,150.25,1900,executed,trader_010,EXE004
2024-11-01 09:31:15,AAPL,ORD010,limit,buy,150.25,1900,filled,trader_010,EXE004
2024-11-01 09:31:20,GOOGL,ORD011,limit,buy,2520.00,500,placed,trader_011,
2024-11-01 09:31:25,GOOGL,ORD012,market,sell,2520.50,300,executed,trader_012,EXE005
2024-11-01 09:31:30,GOOGL,ORD012,market,sell,2520.50,300,filled,trader_012,EXE005
2024-11-01 09:31:35,MSFT,ORD013,limit,sell,310.75,2000,placed,trader_013,
2024-11-01 09:31:40,MSFT,ORD014,market,buy,310.80,1500,executed,trader_014,EXE006
2024-11-01 09:31:45,MSFT,ORD014,market,buy,310.80,1500,filled,trader_014,EXE006
2024-11-01 09:31:50,AAPL,ORD015,limit,buy,148.00,50000,placed,trader_015,
2024-11-01 09:31:55,AAPL,ORD016,limit,sell,155.00,45000,placed,trader_015,
2024-11-01 09:32:00,AAPL,ORD017,limit,buy,149.00,40000,placed,trader_015,
2024-11-01 09:32:05,AAPL,ORD018,limit,sell,154.00,42000,placed,trader_015,
2024-11-01 09:32:10,AAPL,ORD019,market,buy,150.35,2100,executed,trader_016,EXE007
2024-11-01 09:32:15,AAPL,ORD019,market,buy,150.35,2100,filled,trader_016,EXE007
2024-11-01 09:32:20,AAPL,ORD015,limit,buy,148.00,50000,cancelled,trader_015,
2024-11-01 09:32:25,AAPL,ORD016,limit,sell,155.00,45000,cancelled,trader_015,
2024-11-01 09:32:30,AAPL,ORD017,limit,buy,149.00,40000,cancelled,trader_015,
2024-11-01 09:32:35,AAPL,ORD018,limit,sell,154.00,42000,cancelled,trader_015,
2024-11-01 09:32:40,TSLA,ORD020,limit,buy,245.50,1000,placed,trader_017,
2024-11-01 09:32:45,TSLA,ORD021,market,sell,245.60,800,executed,trader_018,EXE008
2024-11-01 09:32:50,TSLA,ORD021,market,sell,245.60,800,filled,trader_018,EXE008
2024-11-01 09:33:00,AAPL,ORD022,limit,buy,150.30,2000,executed,trader_019,EXE009
2024-11-01 09:33:05,AAPL,ORD022,limit,buy,150.30,2000,filled,trader_019,EXE009
2024-11-01 09:33:10,AAPL,ORD023,limit,sell,150.40,1800,placed,trader_020,
2024-11-01 09:33:15,GOOGL,ORD024,market,buy,2522.10,250,executed,trader_021,EXE010
2024-11-01 09:33:20,GOOGL,ORD024,market,buy,2522.10,250,filled,trader_021,EXE010
